# epoch train_loss train_accuracy valid_loss valid_accuracy class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
7.700000000000000000e+01 5.897013402660377518e-02 9.793749999999999956e-01 7.677536332607268754e-01 8.175000000000000044e-01 8.699999999999999956e-01 9.100000000000000311e-01 7.049999999999999600e-01 7.850000000000000311e-01
7.800000000000000000e+01 3.498314704047515711e-02 9.884374999999999689e-01 8.082157982885838088e-01 8.199999999999999512e-01 9.000000000000000222e-01 9.250000000000000444e-01 6.099999999999999867e-01 8.449999999999999734e-01
7.900000000000000000e+01 5.743053447862621341e-02 9.809375000000000178e-01 7.241780909895897400e-01 8.237499999999999822e-01 8.750000000000000000e-01 8.950000000000000178e-01 6.949999999999999512e-01 8.299999999999999600e-01
8.000000000000000000e+01 4.297663361707236562e-02 9.868749999999999467e-01 7.099800950288772672e-01 8.399999999999999689e-01 8.499999999999999778e-01 9.499999999999999556e-01 7.349999999999999867e-01 8.249999999999999556e-01
8.100000000000000000e+01 3.512159369653090890e-02 9.871874999999999956e-01 6.678757941722870406e-01 8.325000000000000178e-01 8.050000000000000488e-01 9.699999999999999734e-01 7.900000000000000355e-01 7.650000000000000133e-01
8.200000000000000000e+01 3.417994973948225435e-02 9.890624999999999556e-01 7.518862533569335982e-01 8.100000000000000533e-01 7.750000000000000222e-01 8.950000000000000178e-01 7.399999999999999911e-01 8.299999999999999600e-01
8.300000000000000000e+01 3.586202762031462377e-02 9.878124999999999822e-01 7.647173619270324352e-01 8.337499999999999911e-01 8.349999999999999645e-01 9.649999999999999689e-01 7.449999999999999956e-01 7.900000000000000355e-01
8.400000000000000000e+01 2.448509042151272158e-02 9.921875000000000000e-01 7.644680064916610229e-01 8.275000000000000133e-01 8.449999999999999734e-01 9.549999999999999600e-01 6.250000000000000000e-01 8.850000000000000089e-01
8.500000000000000000e+01 1.533903715433552854e-02 9.949999999999999956e-01 7.366788190603256181e-01 8.349999999999999645e-01 8.649999999999999911e-01 9.749999999999999778e-01 7.550000000000000044e-01 7.449999999999999956e-01
8.600000000000000000e+01 3.346257623867131964e-02 9.868749999999999467e-01 7.441374272108077781e-01 8.149999999999999467e-01 7.349999999999999867e-01 9.749999999999999778e-01 7.449999999999999956e-01 8.050000000000000488e-01
8.700000000000000000e+01 3.054627813631668673e-02 9.893750000000000044e-01 6.736071252822876110e-01 8.137499999999999734e-01 8.000000000000000444e-01 9.449999999999999512e-01 7.299999999999999822e-01 7.800000000000000266e-01
8.800000000000000000e+01 3.238372385152615829e-02 9.893750000000000044e-01 6.639224463701247636e-01 8.412500000000000533e-01 8.399999999999999689e-01 9.649999999999999689e-01 7.299999999999999822e-01 8.299999999999999600e-01
