# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
2.400000000000000000e+01 5.794714458920753319e-01 7.991200000000000525e-01 3.303834396286513542e-01 8.856000000000000538e-01 1.000000000000000056e-01 8.900000000000000133e-01 9.499999999999999556e-01 9.040000000000000258e-01 7.069999999999999618e-01 9.130000000000000338e-01 7.850000000000000311e-01 8.870000000000000107e-01 8.990000000000000213e-01 9.599999999999999645e-01 9.609999999999999654e-01
2.500000000000000000e+01 5.658649476537015444e-01 8.040599999999999969e-01 3.179534713086038522e-01 8.895999999999999464e-01 1.000000000000000056e-01 8.599999999999999867e-01 9.679999999999999716e-01 8.880000000000000115e-01 7.850000000000000311e-01 9.020000000000000240e-01 7.600000000000000089e-01 9.300000000000000488e-01 8.980000000000000204e-01 9.459999999999999520e-01 9.589999999999999636e-01
2.600000000000000000e+01 5.587274383941828182e-01 8.033200000000000340e-01 3.085890771529545273e-01 8.928000000000000380e-01 1.000000000000000056e-01 9.060000000000000275e-01 9.599999999999999645e-01 8.179999999999999494e-01 7.369999999999999885e-01 8.910000000000000142e-01 8.209999999999999520e-01 9.459999999999999520e-01 9.220000000000000417e-01 9.639999999999999680e-01 9.629999999999999671e-01
2.700000000000000000e+01 5.468673403741302064e-01 8.086999999999999744e-01 4.747552481798318347e-01 8.484000000000000430e-01 1.000000000000000056e-01 8.569999999999999840e-01 9.629999999999999671e-01 7.039999999999999591e-01 6.350000000000000089e-01 9.809999999999999831e-01 6.760000000000000453e-01 8.349999999999999645e-01 9.449999999999999512e-01 9.449999999999999512e-01 9.429999999999999494e-01
2.800000000000000000e+01 5.373838830856046966e-01 8.113399999999999501e-01 3.395831260008934094e-01 8.822999999999999732e-01 1.000000000000000056e-01 8.880000000000000115e-01 9.579999999999999627e-01 8.349999999999999645e-01 9.030000000000000249e-01 8.739999999999999991e-01 7.630000000000000115e-01 7.620000000000000107e-01 9.280000000000000471e-01 9.669999999999999707e-01 9.449999999999999512e-01
2.900000000000000000e+01 5.284210067106528408e-01 8.155400000000000427e-01 3.459291909687435274e-01 8.879000000000000226e-01 1.000000000000000056e-01 9.569999999999999618e-01 9.689999999999999725e-01 8.729999999999999982e-01 7.019999999999999574e-01 9.220000000000000417e-01 7.540000000000000036e-01 9.080000000000000293e-01 9.449999999999999512e-01 9.220000000000000417e-01 9.270000000000000462e-01
3.000000000000000000e+01 5.172183804323637890e-01 8.191800000000000193e-01 3.164673879290350600e-01 8.943999999999999728e-01 1.000000000000000056e-01 8.790000000000000036e-01 9.330000000000000515e-01 8.709999999999999964e-01 7.620000000000000107e-01 9.549999999999999600e-01 7.800000000000000266e-01 9.579999999999999627e-01 8.800000000000000044e-01 9.519999999999999574e-01 9.739999999999999769e-01
3.100000000000000000e+01 5.147969820277475961e-01 8.197799999999999532e-01 2.987322725724583794e-01 8.982999999999999874e-01 1.000000000000000056e-01 8.699999999999999956e-01 9.689999999999999725e-01 8.629999999999999893e-01 7.179999999999999716e-01 9.000000000000000222e-01 8.930000000000000160e-01 9.280000000000000471e-01 9.509999999999999565e-01 9.280000000000000471e-01 9.629999999999999671e-01
3.200000000000000000e+01 5.042189904277094570e-01 8.246999999999999886e-01 2.924245027200387259e-01 9.020000000000000240e-01 1.000000000000000056e-01 9.469999999999999529e-01 9.629999999999999671e-01 8.050000000000000488e-01 7.930000000000000382e-01 9.030000000000000249e-01 8.729999999999999982e-01 9.469999999999999529e-01 8.920000000000000151e-01 9.689999999999999725e-01 9.280000000000000471e-01
3.300000000000000000e+01 4.918213301098125489e-01 8.263000000000000345e-01 2.767058918788172228e-01 9.091000000000000192e-01 1.000000000000000056e-01 9.030000000000000249e-01 9.669999999999999707e-01 8.489999999999999769e-01 7.459999999999999964e-01 9.190000000000000391e-01 8.589999999999999858e-01 9.649999999999999689e-01 9.589999999999999636e-01 9.649999999999999689e-01 9.589999999999999636e-01
3.400000000000000000e+01 4.887304560532191311e-01 8.289199999999999902e-01 2.909960648991143928e-01 9.033999999999999808e-01 1.000000000000000056e-01 8.910000000000000142e-01 9.629999999999999671e-01 9.080000000000000293e-01 7.620000000000000107e-01 8.359999999999999654e-01 8.649999999999999911e-01 9.409999999999999476e-01 9.589999999999999636e-01 9.389999999999999458e-01 9.699999999999999734e-01
3.500000000000000000e+01 4.816049347635804057e-01 8.323199999999999488e-01 2.821702486433731449e-01 9.052000000000000046e-01 1.000000000000000056e-01 8.990000000000000213e-01 9.290000000000000480e-01 8.669999999999999929e-01 7.850000000000000311e-01 9.599999999999999645e-01 8.209999999999999520e-01 9.260000000000000453e-01 9.210000000000000409e-01 9.689999999999999725e-01 9.749999999999999778e-01
3.600000000000000000e+01 4.775001863142808167e-01 8.316400000000000459e-01 2.771523089502185289e-01 9.074999999999999734e-01 1.000000000000000056e-01 9.020000000000000240e-01 9.799999999999999822e-01 9.200000000000000400e-01 7.730000000000000204e-01 9.000000000000000222e-01 8.469999999999999751e-01 9.519999999999999574e-01 9.340000000000000524e-01 9.659999999999999698e-01 9.010000000000000231e-01
3.700000000000000000e+01 4.722576628624439721e-01 8.350600000000000245e-01 2.443001354559541927e-01 9.154999999999999805e-01 1.000000000000000056e-01 9.429999999999999494e-01 9.889999999999999902e-01 8.589999999999999858e-01 8.579999999999999849e-01 8.990000000000000213e-01 8.110000000000000542e-01 9.499999999999999556e-01 9.599999999999999645e-01 9.509999999999999565e-01 9.350000000000000533e-01
3.800000000000000000e+01 4.604011715287896767e-01 8.376200000000000312e-01 2.682301155187356012e-01 9.068000000000000504e-01 1.000000000000000056e-01 9.150000000000000355e-01 9.449999999999999512e-01 8.810000000000000053e-01 8.329999999999999627e-01 9.529999999999999583e-01 7.920000000000000373e-01 9.110000000000000320e-01 8.990000000000000213e-01 9.699999999999999734e-01 9.689999999999999725e-01
3.900000000000000000e+01 4.544821386621765713e-01 8.409799999999999498e-01 3.251816325496655891e-01 8.997000000000000552e-01 1.000000000000000056e-01 9.729999999999999760e-01 9.639999999999999680e-01 8.990000000000000213e-01 7.910000000000000364e-01 9.409999999999999476e-01 7.860000000000000320e-01 9.040000000000000258e-01 9.489999999999999547e-01 9.579999999999999627e-01 8.319999999999999618e-01
4.000000000000000000e+01 4.516552991531098127e-01 8.414199999999999458e-01 2.573200741979165818e-01 9.142000000000000126e-01 1.000000000000000056e-01 9.200000000000000400e-01 9.759999999999999787e-01 9.180000000000000382e-01 8.100000000000000533e-01 8.810000000000000053e-01 8.489999999999999769e-01 9.579999999999999627e-01 9.270000000000000462e-01 9.569999999999999618e-01 9.459999999999999520e-01
4.100000000000000000e+01 4.450031435659353996e-01 8.434199999999999475e-01 2.639611605911875714e-01 9.122999999999999998e-01 1.000000000000000056e-01 9.090000000000000302e-01 9.439999999999999503e-01 8.940000000000000169e-01 7.399999999999999911e-01 9.230000000000000426e-01 9.190000000000000391e-01 9.379999999999999449e-01 9.150000000000000355e-01 9.639999999999999680e-01 9.769999999999999796e-01
4.200000000000000000e+01 4.376511959953713893e-01 8.461600000000000232e-01 2.433882940191620936e-01 9.160000000000000364e-01 1.000000000000000056e-01 9.340000000000000524e-01 9.699999999999999734e-01 8.709999999999999964e-01 8.679999999999999938e-01 9.429999999999999494e-01 7.720000000000000195e-01 9.310000000000000497e-01 9.419999999999999485e-01 9.759999999999999787e-01 9.529999999999999583e-01
4.300000000000000000e+01 4.294990442230849359e-01 8.505000000000000338e-01 2.409493879804881500e-01 9.197999999999999510e-01 1.000000000000000056e-01 9.270000000000000462e-01 9.739999999999999769e-01 8.970000000000000195e-01 8.040000000000000480e-01 9.270000000000000462e-01 8.820000000000000062e-01 9.379999999999999449e-01 9.240000000000000435e-01 9.689999999999999725e-01 9.559999999999999609e-01
