# epoch, train_loss, train_accuracy, valid_loss, valid_accuracy
7.600000000000000000e+01 1.586280337907373938e-01 9.431249999999999911e-01 6.261552125215530396e-01 8.149999999999999467e-01
7.700000000000000000e+01 1.678001178242266300e-01 9.453125000000000000e-01 5.895751540362834664e-01 8.175000000000000044e-01
7.800000000000000000e+01 1.705779965221881911e-01 9.362500000000000266e-01 6.917125320434570623e-01 7.924999999999999822e-01
7.900000000000000000e+01 1.477714804559946138e-01 9.481249999999999956e-01 6.285373306274414373e-01 8.212500000000000355e-01
8.000000000000000000e+01 1.495890993438661054e-01 9.431249999999999911e-01 6.735717296600342019e-01 8.149999999999999467e-01
8.100000000000000000e+01 1.539439956471324034e-01 9.449999999999999512e-01 6.282460999488830300e-01 8.149999999999999467e-01
8.200000000000000000e+01 1.462842435203492719e-01 9.490625000000000311e-01 6.406550574302672940e-01 8.175000000000000044e-01
8.300000000000000000e+01 1.383545781299471977e-01 9.493749999999999689e-01 6.067327749729156672e-01 8.175000000000000044e-01
8.400000000000000000e+01 1.438160020112991266e-01 9.481249999999999956e-01 5.653280258178711160e-01 8.387499999999999956e-01
8.500000000000000000e+01 1.377776535227894783e-01 9.493749999999999689e-01 5.854623228311538474e-01 8.287499999999999867e-01
8.600000000000000000e+01 1.480238180607557352e-01 9.459374999999999867e-01 6.691010367870330322e-01 8.024999999999999911e-01
8.700000000000000000e+01 1.542133061215281431e-01 9.459374999999999867e-01 6.006580042839050337e-01 8.074999999999999956e-01
8.800000000000000000e+01 1.345978013053536482e-01 9.543749999999999734e-01 6.377798855304718240e-01 8.187499999999999778e-01
8.900000000000000000e+01 1.256773321144282751e-01 9.534375000000000488e-01 6.344195511937141818e-01 8.162500000000000311e-01
9.000000000000000000e+01 1.236607579514384242e-01 9.540625000000000355e-01 6.857150346040725708e-01 7.987499999999999600e-01
9.100000000000000000e+01 1.184080172982066859e-01 9.587499999999999911e-01 6.754556000232696533e-01 8.074999999999999956e-01
9.200000000000000000e+01 1.121865774784237130e-01 9.556249999999999467e-01 6.706685209274292347e-01 8.112500000000000266e-01
9.300000000000000000e+01 9.947991915978490751e-02 9.634374999999999467e-01 6.045791327953338179e-01 8.249999999999999556e-01
9.400000000000000000e+01 9.552627422846854399e-02 9.640625000000000444e-01 6.480818825960159568e-01 8.137499999999999734e-01
9.500000000000000000e+01 1.216459594387561127e-01 9.568750000000000311e-01 6.224064034223556474e-01 8.187499999999999778e-01
9.600000000000000000e+01 1.143553610797971437e-01 9.590625000000000400e-01 6.264874541759490878e-01 8.237499999999999822e-01
9.700000000000000000e+01 1.169339673314243599e-01 9.596875000000000266e-01 6.857901239395141069e-01 7.974999999999999867e-01
9.800000000000000000e+01 1.171621442772448063e-01 9.543749999999999734e-01 6.536018192768097146e-01 8.399999999999999689e-01
9.900000000000000000e+01 1.060699999146163530e-01 9.628124999999999600e-01 6.867813378572463767e-01 8.275000000000000133e-01
