epoch train_loss train_accuracy valid_loss valid_accuracy
5.400000000000000000e+01 6.731236245948821195e-02 9.778124999999999734e-01 6.894573420286178589e-01 8.262500000000000400e-01
5.500000000000000000e+01 6.286965318955481385e-02 9.790624999999999467e-01 5.955746421217917863e-01 8.399999999999999689e-01
5.600000000000000000e+01 6.811253281193785369e-02 9.756249999999999645e-01 5.719487369060516357e-01 8.512499999999999512e-01
5.700000000000000000e+01 7.332934093661606922e-02 9.715624999999999956e-01 6.127556216716766313e-01 8.475000000000000311e-01
5.800000000000000000e+01 5.115236238110810324e-02 9.818750000000000533e-01 5.987556093931197809e-01 8.412500000000000533e-01
5.900000000000000000e+01 6.598245745291933528e-02 9.737500000000000044e-01 6.037788027524948475e-01 8.412500000000000533e-01
6.000000000000000000e+01 8.038832686841487773e-02 9.715624999999999956e-01 7.336335444450378107e-01 8.125000000000000000e-01
6.100000000000000000e+01 8.149505172390490715e-02 9.715624999999999956e-01 5.394770476222038313e-01 8.612499999999999600e-01
6.200000000000000000e+01 7.233330948045477160e-02 9.746875000000000400e-01 6.766852977871894437e-01 8.312500000000000444e-01
6.300000000000000000e+01 5.064236350124701885e-02 9.818750000000000533e-01 5.578508675098419189e-01 8.587500000000000133e-01
6.400000000000000000e+01 5.991642394452355996e-02 9.781250000000000222e-01 5.842939314246177185e-01 8.462499999999999467e-01
6.500000000000000000e+01 4.526421604678034644e-02 9.837500000000000133e-01 6.349970328807831299e-01 8.325000000000000178e-01
6.600000000000000000e+01 6.306362784001975919e-02 9.778124999999999734e-01 6.039866244792938543e-01 8.387499999999999956e-01
6.700000000000000000e+01 4.375202067662030403e-02 9.846875000000000488e-01 7.204728031158447177e-01 8.437500000000000000e-01
6.800000000000000000e+01 4.188593283586669602e-02 9.840624999999999512e-01 6.495755058526992975e-01 8.337499999999999911e-01
6.900000000000000000e+01 4.353150469949468998e-02 9.849999999999999867e-01 5.990189462900161743e-01 8.537500000000000089e-01
7.000000000000000000e+01 3.408235563663766093e-02 9.893750000000000044e-01 5.105936895310878576e-01 8.637500000000000178e-01
7.100000000000000000e+01 3.243711418472230296e-02 9.875000000000000444e-01 5.977593082189559537e-01 8.662499999999999645e-01
7.200000000000000000e+01 2.899439566885121319e-02 9.909375000000000266e-01 6.555706906318664595e-01 8.387499999999999956e-01
7.300000000000000000e+01 4.061255453852936903e-02 9.871874999999999956e-01 8.849937534332275035e-01 8.137499999999999734e-01
7.400000000000000000e+01 4.408123926026746853e-02 9.865625000000000089e-01 6.291906508803367659e-01 8.625000000000000444e-01
7.500000000000000000e+01 3.897227749461307927e-02 9.878124999999999822e-01 7.065010190010070357e-01 8.437500000000000000e-01
7.600000000000000000e+01 4.475337238167412246e-02 9.837500000000000133e-01 6.038447827100753562e-01 8.512499999999999512e-01
7.700000000000000000e+01 4.607145375921391228e-02 9.837500000000000133e-01 6.378825956583022982e-01 8.575000000000000400e-01
7.800000000000000000e+01 4.541349339124280821e-02 9.849999999999999867e-01 6.003840273618697987e-01 8.499999999999999778e-01
7.900000000000000000e+01 2.329579389188438793e-02 9.937500000000000222e-01 5.702593025565146911e-01 8.575000000000000400e-01
8.000000000000000000e+01 2.655218360130675095e-02 9.912499999999999645e-01 5.977223592996597779e-01 8.575000000000000400e-01
8.100000000000000000e+01 3.309201291296631070e-02 9.903125000000000400e-01 6.452340602874755415e-01 8.599999999999999867e-01
8.200000000000000000e+01 3.872607364028226445e-02 9.871874999999999956e-01 7.140434718132019354e-01 8.349999999999999645e-01
8.300000000000000000e+01 3.468253383063710921e-02 9.871874999999999956e-01 6.676498463749885870e-01 8.437500000000000000e-01
8.400000000000000000e+01 3.634330221393611282e-02 9.903125000000000400e-01 5.565430160611868349e-01 8.750000000000000000e-01
8.500000000000000000e+01 2.163154516951180939e-02 9.925000000000000488e-01 5.930154594779014632e-01 8.587500000000000133e-01
8.600000000000000000e+01 3.612202010350301640e-02 9.893750000000000044e-01 5.883214177191257166e-01 8.612499999999999600e-01
8.700000000000000000e+01 3.079993642517365668e-02 9.881250000000000311e-01 6.353003174066543801e-01 8.462499999999999467e-01
8.800000000000000000e+01 3.590251168556278516e-02 9.887500000000000178e-01 6.715440052747726485e-01 8.437500000000000000e-01
8.900000000000000000e+01 3.589919395861215778e-02 9.881250000000000311e-01 7.367873430252075417e-01 8.375000000000000222e-01
9.000000000000000000e+01 2.187948189734015628e-02 9.934374999999999734e-01 6.207042968273163153e-01 8.537500000000000089e-01
9.100000000000000000e+01 2.027632409590296447e-02 9.946874999999999467e-01 6.035487502813339233e-01 8.599999999999999867e-01
9.200000000000000000e+01 3.745537018578033728e-02 9.840624999999999512e-01 6.036753880977631104e-01 8.662499999999999645e-01
9.300000000000000000e+01 2.087212510232348134e-02 9.934374999999999734e-01 6.713681310415268166e-01 8.575000000000000400e-01
9.400000000000000000e+01 2.002821428905008500e-02 9.953125000000000444e-01 5.875629040598869812e-01 8.549999999999999822e-01
9.500000000000000000e+01 2.684112748815095997e-02 9.909375000000000266e-01 5.542868047952651533e-01 8.625000000000000444e-01
9.600000000000000000e+01 2.474699083773885047e-02 9.906249999999999778e-01 5.836081969738006192e-01 8.712499999999999689e-01
9.700000000000000000e+01 4.103698464750778208e-02 9.846875000000000488e-01 6.010396552085875976e-01 8.625000000000000444e-01
9.800000000000000000e+01 3.143719358660746616e-02 9.878124999999999822e-01 6.693122026324271889e-01 8.512499999999999512e-01
9.900000000000000000e+01 1.473754597827792168e-02 9.946874999999999467e-01 5.216030269861221536e-01 8.625000000000000444e-01
